 	분류	타입1	타입2	타입3	위력	명중	대상	우선도	접촉 여부	효과	태그1	태그2	태그3	태그4	공격자 능력치	방어자 능력치	타입 순서
초전자포	특수	전기			150	90	단일	－5	×	「10할：마비」					특공	특방	5
충전	변화	전기			－	－	자신	±0	×	자신을 「충전」 상태로 하고，「특방＋1」					－	－	5
크레이지튠	특수	전기			120	100	단일	±0	×	「소리」 기술．명중 후，자신의 「방어/특방－1」	소리				특공	특방	5
크로스썬더	물리	전기			100	100	단일	±0	×	「크로스플레임」 직후에 내보내면 위력이 강화（2배）된다．					공격	방어	5
파라볼라차지	특수	전기			65	100	전체	±0	×	준 대미지의 1/2만큼 HP를 회복한다．		드레인			특공	특방	5
풍뢰권	물리	전기			150	100	단일	＋2	○	「필드에 나온 후 최초」가 아니면 실패한다．		최초			공격	방어	5
플라스마샤워	변화	전기			－	－	필드	＋1	×	T 종료 시까지，필드의 전원의 「노말」 타입 기술을 「전기」 타입으로 변경한다．		타입변화			－	－	5
플라스마피스트	물리	전기			100	100	단일	±0	○	「펀치」 기술．T 종료 시까지，상대의 「노말」 타입 기술을 「전기」 타입으로 변경한다．	펀치	타입변화			공격	방어	5
하전입자포	특수	전기			150	90	단일	－3	×	상대의 「방어」 기술을 관통한다．상대가 「방어」 기술을 내보내고 있지 않으면 실패한다．		방어관통			특공	특방	5
겨울폭풍	물리	얼음			120	100	단일	±0	×	「바람」 기술．명중 후，자신의 「방어/특방－1」	바람				공격	방어	6
고드름꿰뚫기	특수	얼음			100	－	단일	－3	×	특수효과 없음．		필중			특공	특방	6
고드름떨구기	물리	얼음			85	90	단일	±0	×	「3할：풀죽음」					공격	방어	6
고드름발칸	특수	얼음			15	100	단일	＋1	×	2～5회 「연속」 기술．		연속			특공	특방	6
고드름침	물리	얼음			25	100	단일	±0	×	2～5회 「연속」 기술．		연속			공격	방어	6
냉각	변화	얼음			－	－	자신	±0	×	자신을 「냉각」 상태로 하고，「특방＋1」					－	－	6
냉동빔	특수	얼음			90	100	단일	±0	×	「1할：얼음」					특공	특방	6
냉동펀치	물리	얼음			75	100	단일	±0	○	「펀치」 기술．「1할：얼음」	펀치				공격	방어	6
노던크로스	특수	얼음			150	90	단일	±0	×	명중 후，다음 T 종료 후까지 자신을 「행동불능」 상태로 한다．		행동불능			특공	특방	6
눈보라	특수	얼음			110	70	전체	±0	×	「바람」 기술．날씨가 「싸라기눈」일 때，「필중」 효과가 부여된다．「1할：얼음」	바람				특공	특방	6
눈사태	물리	얼음			60	100	단일	－4	○	기술을 내보내기 전에 상대의 공격을 받으면 위력이 강화（2배）된다．					공격	방어	6
눈싸라기	특수	얼음			40	100	전체	±0	×	「1할：얼음」					특공	특방	6
동면	변화	얼음			－	－	단일	±0	×	상대를 「동면」 상태로 한다．					－	－	6
따라가얼리기	물리	얼음			40	100	단일	±0	○	「추격」 기술．상대가 「임의교대」 도중일 때，위력이 강화（2배）된다．			추격		공격	방어	6
블리자드랜스	물리	얼음			120	100	전체	±0	×	「창」 기술．	창				공격	방어	6
블리자드액셀	물리	얼음			80	100	단일	＋2	○	연속해서 내보내면 실패하기 쉽다．（「방어」 기술과 별도 판정．）					공격	방어	6
빙결레이저	특수	얼음			150	90	단일	＋2	×	「필드에 나온 후 최초」가 아니면 실패한다．「1할：얼음」		최초			특공	특방	6
빙결버스트	물리	얼음			150	90	단일	－3	○	상대의 「방어」 기술을 관통한다．		방어관통			공격	방어	6
빙산바람	물리	얼음			100	85	단일	±0	×	「바람」 기술．「3할：풀죽음」	바람				공격	방어	6
설경	변화	얼음			－	－	필드	±0	×	5T 동안 날씨를 「설경」으로 한다．	날씨				－	－	6
성스러운눈보라	물리	얼음			100	95	단일	±0	×	「3할：얼음」					공격	방어	6
순간냉각	특수	얼음			90	－	단일	＋2	×	「필드에 나온 후 최초」가 아니면 실패한다．		최초 필중			특공	특방	6
스노우스톰	특수	얼음			100	75	단일	±0	×	4～5T 동안 상대를 「조이기」 상태로 한다．		조이기			특공	특방	6
싸라기눈	변화	얼음			－	－	필드	±0	×	5T 동안 날씨를 「싸라기눈」으로 한다．					－	－	6
아이스번	변화	얼음			－	－	적진	±0	×	「설치」 기술．적진에 「아이스번」을 설치한다．	설치				－	－	6
아이스볼	물리	얼음			30	90	단일	±0	○	「탄/볼」 기술．「봉인」 상태가 되거나 빗나갈 때까지 5T 동안 내보낸다．명중할 때마다 위력이 강화（2배）된다．「웅크리기」 상태일 때， 위력이 강화（2배）된다．	탄/볼				공격	방어	6
아이스블레이드	물리	얼음			90	100	단일	±0	○	「칼/검」 기술．급소에 맞기 쉽다（C＋1）．	칼/검				공격	방어	6
아이스스피너	물리	얼음			80	100	단일	±0	○	명중 후，전체 필드의 특수한 상태를 해제한다．		해제			공격	방어	6
아이스캘리버	물리	얼음			140	90	단일	±0	○	「모으기」 기술．급소에 맞기 쉽다（C＋1）．「3할：풀죽음」	모으기				공격	방어	6
아이스팽	물리	얼음			85	100	단일	±0	○	「물기/엄니」 기술．적진의 「벽」을 해제한 후 기술을 내보낸다．	물기/엄니	깨트리기			공격	방어	6
아이스해머	물리	얼음			100	90	단일	±0	○	「펀치」 기술．명중 후，자신의 「속도－1」	펀치				공격	방어	6
얼려서부수기	특수	얼음			100	－	단일	－3	×	상대의 「방어」 기술을 관통한다．		방어관통			특공	특방	6
얼어붙은바람	특수	얼음			55	95	전체	±0	×	「바람」 기술．「10할：속도－1」	바람				특공	특방	6
얼어붙은세계	특수	얼음			65	95	전체	±0	×	「10할：속도－1」					특공	특방	6
얼음뭉치	물리	얼음			40	100	단일	＋1	×	특수효과 없음．					공격	방어	6
얼음숨결	특수	얼음			50	90	단일	±0	×	반드시 급소에 맞는다．		확정급소			특공	특방	6
얼음엄니	물리	얼음			65	95	단일	±0	○	「물기/엄니」 기술．「1할：얼음」「1할：풀죽음」	물기/엄니				공격	방어	6
얼음의벽	변화	얼음			－	－	자진	±0	×	「벽」 기술．4T 동안 자진에 「얼음의벽」을 전개한다．	벽				－	－	6
얼음의칼	물리	얼음			100	100	단일	±0	○	「칼/검」 기술．급소에 맞기 쉽다（C＋1）．「1할：얼음」	칼/검				공격	방어	6
얼음채우기	변화	얼음			－	100	단일	±0	×	상대의 타입을 「얼음」으로 변경한다．		타입변경			－	－	6
오로라베일	변화	얼음			－	－	자진	±0	×	「벽」 기술．5T 동안 자진에 「오로라베일」을 전개한다．날씨가 「싸라기눈」이 아니면 실패한다．	벽				－	－	6
오로라빔	특수	얼음			65	100	단일	±0	×	「1할：공격－1」					특공	특방	6
오버프리즈	특수	얼음			130	90	단일	±0	×	명중 후，자신의 「특공－2」					특공	특방	6
용빙탄	특수	얼음	드래곤		130	85	단일	±0	×	「얼음」「드래곤」 타입 중 유리한 타입 상성으로 대미지를 계산한다．		복합타입			특공	특방	6
절대영도	특수	얼음			－	30	단일	±0	×	「일격필살」 기술．	일격필살				－	－	6
찬물끼얹기	특수	얼음			50	100	단일	±0	×	「10할：공격－1」					특공	특방	6
콜드플레어	특수	얼음			140	90	단일	±0	×	「모으기」 기술．「3할：화상」	모으기				특공	특방	6
큰눈사태	물리	얼음			200	90	단일	±0	○	준 대미지의 1/2만큼 반동 대미지를 받는다．		반동			공격	방어	6
트리플악셀（1회）	물리	얼음			20	90	단일	±0	○	3회 「연속」 기술．1번 명중할 때마다 위력이 강화（＋20，최대 60）된다．		연속			공격	방어	6
트리플악셀（2회）	물리	얼음			40	90	단일	±0	○	3회 「연속」 기술．1번 명중할 때마다 위력이 강화（＋20，최대 60）된다．		연속			공격	방어	6
트리플악셀（3회）	물리	얼음			60	90	단일	±0	○	3회 「연속」 기술．1번 명중할 때마다 위력이 강화（＋20，최대 60）된다．		연속			공격	방어	6
프리즈드라이	특수	얼음			70	100	단일	±0	×	상대가 「물」 타입일 때，「효과가 굉장」해진다．「1할：얼음」		상성변경			특공	특방	6
프리즈볼트	물리	얼음			140	90	단일	±0	×	「모으기」 기술．「3할：마비」	모으기				공격	방어	6
한파예보	특수	얼음			100	100	단일	±0	×	「미래예지」 기술．상대를 「한파예보」 상태로 한다．	미래예지				특공	특방	6
흑안개	변화	얼음			－	－	필드	±0	×	필드의 전원의 「능력변화」를 「초기화」한다．		초기화			－	－	6
흰안개	변화	얼음			－	－	자진	±0	×	5T 동안 자진을 「흰안개」 상태로 한다．					－	－	6
3연화살	물리	격투			90	100	단일	±0	×	「화살」 기술．급소에 맞기 쉽다（C＋1）．「5할：방어－1」	화살				공격	방어	7
걷어차기	물리	격투			40	－	단일	－7	×	「킥」 기술．「강제교대」 기술．	킥	필중	강제교대		공격	방어	7
고요우펀치	물리	격투	땅		150	100	단일	＋1	○	「펀치」 기술．「격투」「땅」 타입 중 유리한 타입 상성으로 대미지를 계산한다．	펀치	복합타입			공격	방어	7
고전펀치	물리	격투			75	100	단일	±0	○	「펀치」 기술．「3할：혼란」	펀치				공격	방어	7
귀신의주먹	물리	격투			150	100	단일	±0	○	「펀치」 기술．연속해서 내보내면 실패하기 쉽다．（「방어」 기술과 별도 판정．）	펀치				공격	방어	7
그로우펀치	물리	격투			40	100	단일	±0	○	「펀치」 기술．「10할：공격＋1」	펀치				공격	방어	7
기사회생（1P）	물리	격투			20	100	단일	±0	○	자신의 현재 HP가 적을수록 위력이 강화된다．		체력비례			공격	방어	7
기사회생（2P）	물리	격투			200	100	단일	±0	○	자신의 현재 HP가 적을수록 위력이 강화된다．		체력비례			공격	방어	7
기원참	특수	격투			50	90	단일	±0	×	반드시 급소에 맞는다．		확정급소			특공	특방	7
기합구슬	특수	격투			120	70	단일	±0	×	「탄/볼」 기술．「1할：특방－1」	탄/볼				특공	특방	7
깨트리기	물리	격투			75	100	단일	±0	○	적진의 「벽」을 해제한 후 기술을 내보낸다．		깨트리기			공격	방어	7
너클볼	물리	격투			80	－	단일	±0	×	「탄/볼」 기술．	탄/볼	필중			공격	방어	7
대나무쪼개기	물리	격투			130	100	단일	±0	○	연속해서 내보내면 실패하기 쉽다．（「방어」 기술과 별도 판정．）					공격	방어	7
덮어차기	물리	격투			70	100	단일	±0	○	「킥」 기술．「유턴」 기술．	킥		유턴		공격	방어	7
돌격	변화	격투			－	－	자진	±0	×	4T 동안，자진에 있는 포켓몬의 「공격」이 2배가 된다．					－	－	7
돌려차기	물리	격투			60	80	단일	±0	○	「킥」 기술．「3할：풀죽음」	킥				공격	방어	7
두들겨패기	물리	격투			20	90	단일	±0	○	2～5회 「연속」 기술．		연속			공격	방어	7
두번차기	물리	격투			30	100	단일	±0	○	「킥」 기술．2회 「연속」 기술．	킥	연속			공격	방어	7
드레인펀치	물리	격투			75	100	단일	±0	○	「펀치」 기술．준 대미지의 1/2만큼 HP를 회복한다．	펀치	드레인			공격	방어	7
로킥	물리	격투			65	100	단일	±0	○	「킥」 기술．「10할：속도－1」	킥				공격	방어	7
리벤지	물리	격투			60	100	단일	－4	○	기술을 내보내기 전에 상대의 공격을 받으면 위력이 강화（2배）된다．					공격	방어	7
마룻바닥세워막기	변화	격투			－	－	자신	±0	×	「방어」 기술．자신을 포함한 아군에 대한 「공격」 기술을 「방어」한다．「필드에 나온 후 최초」가 아니면 실패한다．	방어				－	－	7
마하펀치	물리	격투			40	100	단일	＋1	○	「펀치」 기술．	펀치				공격	방어	7
말타기	물리	격투			100	85	단일	±0	○	「유턴」 기술．			유턴		공격	방어	7
머슬봄버	물리	격투			120	100	단일	±0	○	자신과 상대의 「방어」 능력치로 대미지를 계산한다．		변칙계산			공격	방어	7
멀리치기	물리	격투			40	100	단일	±0	×	「추격」 기술．상대가 「임의교대」 도중일 때，위력이 강화（2배）된다．			추격		공격	방어	7
목숨걸기	특수	격투			－	100	단일	±0	×	자신을 「빈사」 상태로 하고，상대에게 자신의 남은 HP만큼 고정 대미지를 준다．	자폭	고정피해			－	－	7
무릎차기	물리	격투			130	90	단일	±0	○	「킥」 기술．빗나가거나 무효화됐을 때，HP의 1/2만큼 반동 대미지를 받는다．	킥	반동			공격	방어	7
무의춤	변화	격투			－	－	자신	±0	×	「춤」 기술．「공격/방어/특공＋1」	춤				－	－	7
